score,dev,perdev,df,lambda,x0,x1,x2
17.601532166102743,55378,0.0,1,3.757032166102741,0.0,-0.0,5.329070518200751e-15
10.166499041731937,28799,0.4799559391816245,2,2.9667490417319367,0.0,-0.9388811736040248,1.1695338092294696
5.619200165313589,13106,0.7633356206435769,2,2.342700165313589,0.0,-1.855737689962445,2.088527286690588
3.2419185429436848,5568,0.8994546570840406,2,1.8499185429436844,0.0,-2.57973561252219,2.8142125857612026
2.1277924079216497,2668,0.9518220231861028,2,1.4607924079216497,0.0,-3.1514422277461565,3.387251641705719
1.711768065528409,2233,0.9596771281014121,2,1.153518065528409,0.0,-3.6028916638650186,3.8397532426866556
1.6631281783672647,3009,0.9456643432409982,2,0.9108781783672647,0.0,-3.968580800834535,4.196834542155484
1.8110270365894479,4367,0.921141969735274,2,0.7192770365894479,0.0,-4.2481531297448285,4.479042073290997
1.915978756821529,5392,0.9026328144750623,3,0.567978756821529,0.20112963948300178,-4.4549002461930876,4.711114917891928
2.091005724206325,6570,0.8813608292101557,3,0.4485057242063249,0.3780638644445422,-4.616659068629657,4.89520879068884
2.2986635707848277,7778,0.8595471125717794,3,0.35416357078482763,0.5179225092083879,-4.744360823402602,5.040586015560398
2.4991660735891914,8878,0.8396836288778937,3,0.2796660735891913,0.62836472660431,-4.845200448265417,5.155383593892677
2.6840889545640576,9853,0.8220773592401315,3,0.22083895456405767,0.7155757065356132,-4.92482868342693,5.246033765622224
2.8441359854970654,10679,0.8071616887572682,3,0.17438598549706533,0.7844420567076473,-4.9877073013520326,5.317615881052551
2.986204292242344,11394,0.7942504243562425,3,0.13770429224234382,0.8388225276136898,-5.037359545789625,5.374140862199941
3.104738509278224,11984,0.7835963740113403,3,0.10873850927822375,0.881764190824702,-5.076567554156992,5.418775942827134
3.1938656125202063,12432,0.7755065188341941,3,0.08586561252020636,0.9156731733804204,-5.107528247627116,5.454022136318129
3.273303977288355,12822,0.7684640109790892,3,0.0678039772883546,0.9424494790002991,-5.13197643002826,5.481854373611051
3.3347915657232727,13125,0.7629925241070461,3,0.053541565723272816,0.96359344996643,-5.151281993170649,5.503832163437557
3.3837792198149104,13366,0.7586406154068402,3,0.042279219814910486,0.980289834992925,-5.166526675254962,5.521186975433965
3.4278858826130767,13578,0.754812380367655,3,0.03338588261307674,0.9934741736112243,-5.178564673325142,5.534891242414781
3.457863238553921,13726,0.752139838925205,3,0.026363238553920792,1.0038852167517687,-5.188070506030354,5.545712848175785
3.484067791612875,13853,0.7498465094441836,3,0.02081779161287492,1.0121063207761933,-5.1955768085644385,5.5542581539123494
3.505438816754273,13956,0.747986565061938,3,0.01643881675427286,1.0185981343695116,-5.2015041775262665,5.561005974129061
3.521980949243119,14036,0.7465419480660189,3,0.012980949243119209,1.0237244098192793,-5.206184737981977,5.566334405794438
3.5362504362553127,14104,0.745314023619488,3,0.010250436255312505,1.027772384951211,-5.209880753249568,5.570542014044329
